02:00:4e:1d:00:03 , i-16-1708-VM , jituanmis-is2 , 172.17.0.8 , jituanoamis , 2 , 4096 , Stopped , false , 2013-05-17T10:24:40+0800 , 2CPU-4G-is-nfs-slow , XenServer
02:00:1d:91:00:01 , i-16-1706-VM , jituanmis-is1 , 172.17.0.7 , jituanoamis , 2 , 4096 , Running , false , 2013-05-17T10:18:37+0800 , 2CPU-4G-is-nfs-slow , XenServer
02:00:25:21:00:01 , i-15-1315-VM , GDUPC-DBTEST , 192.168.31.4 , gdupc , 4 , 4000 , Running , false , 2013-03-20T17:47:59+0800 , 4CPU-4G-500M-SMFAST , XenServer
02:00:39:33:00:34 , i-7-1311-VM , DIAOBINSHAN-LOCALPRED2 , 192.168.31.127 , fengce , 2 , 2048 , Running , true , 2013-03-14T15:37:54+0800 , 2CPU-2G-500M-HA , XenServer
02:00:36:f6:00:33 , i-7-1310-VM , JIAOQU-LOCALPRED , 192.168.31.25 , fengce , 2 , 2048 , Running , true , 2013-03-12T17:20:46+0800 , 2CPU-2G-500M-HA , XenServer
02:00:2b:ec:00:32 , i-7-1309-VM , QINGLONG-DATA-COLLECT , 192.168.31.169 , fengce , 2 , 2048 , Running , false , 2013-03-07T17:00:01+0800 , 2CPU-2G , XenServer
02:00:6a:7d:00:31 , i-7-1308-VM , QINGLONG-WEB-SERVER , 192.168.31.168 , fengce , 2 , 2048 , Stopped , false , 2013-03-07T16:59:24+0800 , 2CPU-2G , XenServer
02:00:58:c0:00:30 , i-7-1307-VM , QINGLONG-FILE-UPLOAD , 192.168.31.167 , fengce , 2 , 3072 , Running , true , 2013-03-07T16:58:57+0800 , 2CPU-3G-HA , XenServer
02:00:2c:f7:00:2f , i-7-1306-VM , WULIJI-LOCALPRED , 192.168.31.161 , fengce , 2 , 2048 , Running , true , 2013-03-07T16:58:13+0800 , 2CPU-2G-500M-HA , XenServer
02:00:55:ff:00:2e , i-7-1305-VM , QINGLONG-LOCALPRED , 192.168.31.166 , fengce , 2 , 2048 , Running , true , 2013-03-07T16:56:52+0800 , 2CPU-2G-500M-HA , XenServer
02:00:1c:5d:00:2d , i-7-1304-VM , WULIJI-DATA-COLLECT , 192.168.31.164 , fengce , 2 , 2048 , Stopped , false , 2013-03-07T16:56:07+0800 , 2CPU-2G , XenServer
02:00:7a:0e:00:2c , i-7-1303-VM , WULIJI-WEB-SERVER , 192.168.31.163 , fengce , 2 , 2048 , Running , false , 2013-03-07T16:55:34+0800 , 2CPU-2G , XenServer
02:00:5f:fb:00:2b , i-7-1302-VM , WULIJI-FILE-UPLOAD , 192.168.31.162 , fengce , 2 , 3072 , Running , true , 2013-03-07T16:54:44+0800 , 2CPU-3G-HA , XenServer
02:00:67:20:00:29 , i-7-1300-VM , JIAOQU-DATA-COLLECT , 192.168.31.28 , fengce , 2 , 2048 , Running , false , 2013-03-07T16:53:31+0800 , 2CPU-2G , XenServer
02:00:4d:e7:00:28 , i-7-1299-VM , JIAOQU-WEB-SERVER , 192.168.31.27 , fengce , 2 , 2048 , Running , false , 2013-03-07T16:52:46+0800 , 2CPU-2G , XenServer
